tick,x,y
1,2.6769333,3.1139777
2,2.6495886,3.1501331
3,2.6467164,3.169791
4,2.645026,3.1773813
5,2.6425014,3.1755195
6,2.6277087,3.1571932
7,2.640533,3.1242068
8,2.6581583,3.1827257
9,2.6477447,3.136706
10,2.6504633,3.229459
11,2.697791,3.5500693
12,2.6661828,3.5592499
13,2.8797808,2.6827624
14,2.5177383,3.0784314
15,2.4748573,3.5865285
16,2.573093,3.3318698
17,3.9029658,2.5773978
18,3.8228016,2.6819825
19,6.525317,4.0865817
20,6.9741335,3.9756992
21,7.4488206,4.8756022
22,5.9052606,3.701684
23,4.9490447,3.536458
24,3.292192,2.3636367
25,2.3674748,2.9743416
26,2.2627409,2.7309093
27,2.4518542,2.374889
28,3.412022,2.2881968
29,2.9950728,2.435027
30,2.335831,2.0391862
31,2.633659,1.9789225
32,3.659451,2.2864141
33,3.397057,2.3271563
34,3.1353188,2.7775323
35,2.905163,3.3360682
36,4.1939254,3.8458223
37,4.718435,4.0721946
38,6.227025,4.3895597
39,6.995621,4.280667
40,9.121691,3.415911
41,10.348175,3.1167297
42,16.373632,3.837895
43,17.662033,5.20396
44,17.68687,5.2179193
45,19.987728,5.033322
46,25.134546,5.761982
47,25.527838,5.3329287
48,26.618528,3.7101827
49,27.259693,3.2730868
50,28.806417,2.4561298
51,27.385336,2.585126
52,28.409975,4.0884233
53,28.37769,3.9655745
54,27.902843,8.125339
55,27.928112,11.1021595
56,28.861036,12.903257
57,28.117136,14.819319
58,24.075445,14.944555
59,15.001901,14.519259
60,10.924312,14.613061
61,10.3113985,15.203167
62,10.083262,15.483882
63,11.385206,14.045696
64,3.0933042,11.972786
65,3.6854236,2.3669508
66,5.7534175,2.7521782
67,7.5679445,2.9706519
68,12.310084,4.339174
69,20.207281,4.687374
70,23.413895,8.008133
71,25.333265,9.408823
72,25.356129,10.745938
73,23.944878,12.769039
74,21.817211,12.323381
75,21.65169,9.277479
76,25.636662,3.1048155
77,27.632307,3.508589
78,28.624367,4.969696
79,28.307308,3.8313603
80,28.632956,3.650691
81,28.384396,3.1726024
82,26.487728,3.0980246
83,29.027561,4.2208366
84,24.566322,4.1917844
85,13.785204,4.019315
86,14.274203,4.178927
87,14.445598,4.139147
88,14.157296,3.9952462
89,5.8424177,3.2175157
90,3.8198292,2.7468736
91,6.2471633,2.1413603
92,5.8894153,3.3924603
93,7.5453,3.2675357
94,7.12482,2.9675522
95,15.036378,3.5378501
96,20.669834,3.4782643
97,23.071978,3.328075
98,26.285479,4.115263
99,27.72922,3.1147459
100,26.104631,3.0454373
101,26.98349,3.1666918
102,25.669323,3.3026812
103,18.116425,5.089957
104,10.207954,6.468815
105,8.909426,9.709924
106,8.604801,10.867186
107,6.663906,10.708339
108,2.7753012,14.405254
109,4.7706,12.968898
110,5.0040994,14.793476
111,2.2123048,14.084596
112,6.3708396,14.305498
113,14.074237,14.411831
114,13.656387,14.679798
115,12.401789,14.953288
116,14.276909,8.371638
117,7.406623,3.0786345
118,4.6591396,2.5007997
119,4.2720413,2.156568
120,2.6602929,5.3302507
121,3.491822,3.3494987
122,3.7544484,2.5679157
123,2.350716,3.5691435
124,6.5050735,4.181072
125,9.624476,3.1780512
126,10.105159,3.2559574
127,9.335947,3.5351436
128,8.45412,3.4455433
129,9.417962,4.0805454
130,18.114431,2.9768112
131,25.99287,3.0362282
132,26.857723,3.6811206
133,26.636469,3.1878057
134,25.55535,3.2558522
135,25.584238,3.2614043
136,27.462414,3.692424
137,25.856644,3.3259995
138,24.856215,3.8191304
139,24.875746,3.7946537
140,24.848461,3.8218057
141,25.107351,3.6187668
142,24.207653,3.2604043
143,24.376894,3.5251496
144,26.035038,3.5180914
145,26.995384,3.670824
146,28.694212,7.690441
147,28.644342,7.4407434
148,28.70607,7.511237
149,28.721088,9.230188
150,27.894321,10.091893
151,27.681883,10.203444
152,28.637175,12.093028
153,28.749166,13.125526
154,28.745304,12.968649
155,29.780983,14.032578
156,28.430054,12.318988
157,28.605478,12.8359785
158,26.865503,14.5287285
159,25.969694,14.545491
160,24.770847,14.441947
161,24.69615,11.111548
162,26.451262,9.6972685
163,26.191717,9.866022
164,26.218218,9.938799
165,26.741295,10.029174
166,25.437931,10.553763
167,25.336111,6.467824
168,25.924252,4.2057147
169,24.721579,3.3647695
170,24.921877,2.669348
171,19.760117,3.6119065
172,12.731735,6.3946276
173,11.589206,6.55137
174,9.231498,7.29351
175,10.190839,7.7975802
176,9.665849,7.7349334
177,9.2840605,8.58683
178,8.724648,9.639475
179,8.712903,9.841232
180,8.744236,9.808868
181,8.740205,9.963018
182,8.90282,8.937784
183,11.2081585,10.592865
184,11.063649,9.382759
185,11.996348,7.39749
186,11.701981,7.590546
187,11.647593,4.3122945
188,11.061319,2.9375813
189,7.8961782,2.2766557
190,4.491453,2.268145
191,4.3049107,2.5638323
192,2.5294015,3.3000238
193,4.337053,3.2529132
194,5.4502053,2.895779
195,6.2450624,2.590144
196,6.494643,2.5736828
197,6.733512,3.0265026
198,9.0159235,5.7582836
199,9.0852375,6.875459
200,8.614767,5.9581065
201,7.9767084,9.4463825
202,7.3088284,10.71621
203,8.212256,8.502327
204,6.894179,6.0858974
205,4.664463,2.9525962
206,4.0989857,2.8694875
207,4.0613246,3.2898567
208,4.1170177,3.0758486
209,3.0470192,3.4613352
210,4.468541,3.8655732
211,5.3760214,3.5965812
212,9.675047,3.2086916
213,14.4524975,2.5942883
214,16.923588,2.8441954
215,16.925714,3.161813
216,16.972439,2.636255
217,16.919691,2.672627
218,16.529757,1.9810965
219,17.112486,3.22112
220,19.948137,4.0761847
221,20.70002,6.042405
222,20.315256,5.50238
223,19.520601,7.151021
224,19.2367,6.5356503
225,18.106985,8.235039
226,18.102942,10.211421
227,19.055613,11.191415
228,18.286531,10.046394
229,18.984125,12.85214
230,18.193794,10.245547
231,19.237738,13.122981
232,20.228554,12.802693
233,20.970882,13.569986
234,20.606438,13.3631115
235,25.94883,10.741645
236,25.963737,10.539415
237,25.274172,10.703699
238,26.495033,4.665869
239,26.80289,2.8247137
240,26.836836,2.8417337
241,27.498335,2.9278002
242,27.34623,2.7970765
243,28.875067,3.083827
244,28.62174,3.5964696
245,26.819248,4.6429996
246,25.937315,4.5433106
247,25.060389,4.7241607
248,25.065971,4.0828066
249,25.92276,2.8857987
250,29.150536,4.46534
251,28.779585,4.568683
252,28.356237,4.6075845
253,28.312027,4.4180775
254,28.342842,4.397026
255,27.663166,4.6249003
256,28.012655,4.361471
257,28.003378,4.5994887
258,27.564089,3.713237
259,27.281109,3.580258
260,27.912003,3.2649977
261,28.188288,2.9150283
262,27.242874,4.1180005
263,26.02309,3.3175616
264,26.372473,3.6116946
265,26.86993,5.1417212
266,22.368397,3.5546618
267,12.986702,2.223089
268,7.215636,2.6750484
269,4.214011,2.2636323
270,3.2241063,2.780502
271,5.456089,2.8709326
272,6.622002,2.398767
273,7.4326143,2.42162
274,7.1970954,2.3997622
275,6.4314656,2.5181088
276,6.2987533,2.7469168
277,6.3822575,2.8513818
278,6.492927,2.9357548
279,5.938097,3.8024507
280,16.766777,2.2981555
281,26.501553,2.8472202
282,26.711811,2.9676294
283,28.81331,3.98359
284,28.888817,3.498263
285,29.21858,4.123001
286,29.30015,4.283203
287,28.429043,6.281932
288,28.984653,12.660338
289,28.427015,13.044044
290,29.764332,12.938122
291,29.285639,13.505746
292,27.654682,11.876435
293,27.197489,12.243031
294,27.49205,12.446115
295,27.791382,15.093937
296,27.519733,13.726767
297,28.083246,12.989646
298,27.222588,13.665208
299,27.213345,13.78397
300,22.791746,14.198062
301,18.664238,12.528547
302,15.848963,8.8811655
303,15.864875,8.855742
304,15.962286,8.790015
305,15.941989,8.778419
306,15.96375,8.779753
307,15.92081,8.763122
308,15.1798725,7.2981515
309,8.956334,3.0736384
310,6.355023,2.9866555
311,5.295033,2.889641
312,3.09511,2.4703834
313,3.41539,2.0766335
314,3.4362576,1.9394281
315,3.2625484,1.9565314
316,3.1242814,2.0972672
317,2.5243862,4.2799487
318,17.454905,2.0765746
319,24.775507,2.5253694
320,29.05055,3.887886
321,29.122335,3.8005323
322,29.317413,3.2475276
323,28.994856,3.1886806
324,28.910044,3.2083144
325,28.567503,4.361893
326,28.781593,3.4516459
327,28.032898,3.5136588
328,28.078047,3.9050524
329,27.954556,3.9768798
330,28.268002,3.6588728
331,27.333435,4.052444
332,27.391933,3.901073
333,27.40683,3.8501177
334,28.034746,2.69198
335,27.623436,3.478253
336,27.743038,3.8640497
337,27.876854,4.0068173
338,27.851177,3.9935117
339,27.868681,4.011046
340,27.84987,4.0066843
341,27.862549,4.0317726
342,27.78495,3.0078762
343,27.564575,3.2468975
344,27.191631,2.8770833
345,27.090265,2.890768
346,26.779783,3.195419
347,26.671446,3.4761286
348,26.709581,3.6666481
349,26.867258,3.7062035
350,26.802673,3.7370741
351,26.771824,3.7642198
352,26.898798,3.809588
353,26.915197,3.7934444
354,26.895788,3.77915
355,26.668978,3.696827
356,26.69191,3.59544
357,26.666977,3.6256118
358,26.661634,3.6372252
359,26.65898,3.643206
360,26.77357,3.5360062
361,26.969393,3.8758128
362,26.986757,3.9849396
363,26.984968,3.9770715
364,26.909021,4.037087
365,26.859835,4.2979946
366,26.872019,3.5132794
367,26.920998,3.2754157
368,26.994993,3.3236883
369,27.231966,3.3694577
370,27.299236,3.4016378
371,27.283508,3.390243
372,27.298748,3.4231815
373,27.302023,3.3843002
374,27.387375,3.311267
375,27.543045,3.4049337
376,27.556576,3.4886937
377,27.562021,3.4824948
378,27.556301,3.4522438
379,27.516272,3.4729226
380,28.178118,3.4224744
381,27.921179,3.3911436
382,27.714222,3.5200915
383,27.693253,3.5470917
384,27.665422,3.5281274
385,27.649643,3.5378625
386,27.635752,3.5488489
387,27.637589,3.5600002
388,27.623983,3.5723648
389,27.646814,3.5735133
390,27.61207,3.5844972
391,27.70995,3.6010604
392,27.477827,3.480484
393,26.316246,3.279343
394,26.55245,3.5370653
395,27.32862,3.3578756
396,27.2989,3.3277898
397,27.309202,3.4053204
398,27.310621,3.416515
399,27.301683,3.4047124
400,27.28636,3.4666045
401,27.30785,3.498879
402,27.276161,3.5181098
403,27.314548,3.5111463
404,27.289461,3.566343
405,27.360058,3.4860938
406,27.31064,3.436467
407,27.294546,3.440477
408,27.30811,3.4403062
409,27.320333,3.3795125
410,27.313343,3.3683064
411,27.330738,3.4090374
412,27.30555,3.3748233
413,27.280407,3.3767471
414,27.3062,3.3508215
415,27.311861,3.363672
416,27.312925,3.3685997
417,27.309414,3.4080493
418,27.270279,3.3889613
419,27.301567,3.4143834
420,27.30421,3.3940938
421,27.281864,3.4302912
422,27.278131,3.4282596
423,27.328129,3.4357722
424,27.324738,3.4446766
425,27.295546,3.4221091
426,27.48052,3.8511572
427,27.481339,3.823273
428,27.526037,3.7946832
429,27.487793,3.7320333
430,27.513226,3.7376301
431,25.82344,3.1484692
432,27.89157,3.4225059
433,27.962955,3.3988156
434,27.998388,3.2899013
435,27.930973,3.3998458
436,28.003769,3.3966546
437,27.913967,3.3130176
438,27.887611,3.3185062
439,27.884607,3.330694
440,27.894861,3.4077866
441,27.89309,3.3773699
442,27.876347,3.3547144
443,27.895475,3.3668249
444,27.887556,3.38533
445,27.889673,3.3545964
446,27.880613,3.3125594
447,27.876593,3.2701914
448,27.879438,3.2981088
449,27.865433,3.3040745
450,27.85593,3.2846994
451,27.874647,3.2844472
452,27.8699,3.2785006
453,27.86776,3.2714489
454,27.861877,3.2851033
455,27.872284,3.2699068
456,27.865803,3.278296
457,27.839525,3.275846
458,27.860905,3.2906187
459,27.860544,3.2942126
460,27.860302,3.281201
461,27.866901,3.2724702
462,27.86008,3.2892778
463,27.867962,3.301963
464,27.858095,3.2932093
465,27.8597,3.3002968
466,27.849052,3.279305
467,27.85993,3.2851214
468,27.862816,3.295096
469,27.862688,3.2790318
470,27.864708,3.3088987
471,27.867716,3.2850955
472,27.851944,3.2813246
473,27.848833,3.295044
474,27.849295,3.288274
475,27.859888,3.2997568
476,27.861143,3.2945638
477,27.871307,3.3091297
478,27.841307,3.2900345
479,27.865616,3.2903042
480,27.922623,2.9701083
481,27.879017,2.8461816
482,28.34142,3.1736417
483,28.853321,3.3435898
484,28.410334,3.202112
485,28.122858,2.919374
486,27.99001,2.9602442
487,27.982477,2.960003
488,27.982918,2.9460704
489,28.101913,2.7208762
490,27.99671,2.8367338
491,27.810947,2.9164958
492,27.794813,2.9192615
493,27.789179,2.9146252
494,27.77614,2.9041116
495,27.777647,2.9152868
496,27.770107,2.8652275
497,27.717016,2.8847978
498,27.725636,2.8818123
499,27.717508,2.8927531
500,27.720308,2.8901627
501,27.689394,2.8926032
502,27.702335,2.8896387
503,27.698528,2.8857806
504,27.68823,2.8891706
505,27.688406,2.895827
506,27.691034,2.8875449
507,27.663324,2.878168
508,27.623957,2.8813403
509,27.62952,2.8798997
510,28.128977,2.8202248
