tick,x,y
1,26.61112,3.3370247
2,26.815884,3.4498503
3,25.067608,2.964292
4,23.878248,3.2618709
5,22.239973,4.3114905
6,19.904154,8.550525
7,19.494425,9.481337
8,17.414457,10.721326
9,8.940635,12.936031
10,6.323597,13.737955
11,14.96161,8.914258
12,21.34427,7.4710574
13,24.845852,9.85316
14,27.238213,12.671722
15,27.193964,12.751245
16,24.772245,14.36284
17,19.154478,15.255437
18,11.718725,12.324971
19,11.246133,6.7879405
20,13.812322,4.8216243
21,25.692463,2.9799137
22,25.762163,3.12518
23,28.205887,3.4366512
24,28.256378,6.5961285
25,28.455973,12.361283
26,29.192692,12.876113
27,28.795654,10.769443
28,27.087715,12.715673
29,27.712904,12.403441
30,27.826271,11.979169
31,27.901264,6.5944133
32,26.527685,3.9847236
33,25.059252,3.938796
34,23.309786,4.2729917
35,14.496969,7.437761
36,9.3065,11.901884
37,6.799821,5.965819
38,1.8975835,3.054486
39,3.6020408,4.101533
40,3.980133,4.822868
41,5.324175,4.73613
42,10.25498,3.0801294
43,8.026749,2.7210293
44,8.754182,3.1665218
45,8.469507,4.5004435
46,13.725798,3.9503543
47,25.685616,3.1890922
48,28.277695,1.8014207
49,26.616331,3.1398761
50,26.531202,3.0298622
51,24.492233,3.2755752
52,19.866577,4.900749
53,17.90781,12.586649
54,18.175945,12.951311
55,19.100204,13.76356
56,24.672167,13.993129
57,25.187037,13.538357
58,21.908997,14.428291
59,7.9672194,13.566409
60,4.8702884,14.56291
61,3.7225583,15.3553915
62,5.94078,13.043256
63,8.073385,13.276282
64,8.079027,12.1399
65,10.797164,5.8637543
66,10.217031,3.5538347
67,4.73603,3.0993567
68,4.4874153,3.1035736
69,2.1838953,2.7512054
70,3.1707356,3.8705218
71,3.5228014,5.6974382
72,9.189506,9.726264
73,13.896815,9.556232
74,23.94057,8.954619
75,24.854902,7.127233
76,24.54213,8.358192
77,25.01695,6.374792
78,26.393648,5.0216208
79,27.527023,5.291183
80,28.806181,5.0928593
81,25.874687,5.2989664
82,26.131788,4.369779
83,26.75405,4.063807
84,27.00785,2.5145996
85,28.472221,5.5079765
