tick,x,y
1,9.4603405,14.796905
2,10.4205065,8.685658
3,15.549496,6.47447
4,10.251982,6.8228683
5,5.1630054,4.5796742
6,4.3532505,4.847684
7,5.775134,10.959019
8,6.467417,15.368106
9,5.376512,15.942918
10,5.750501,16.284948
11,5.989486,15.162261
12,9.138187,7.60351
13,16.47289,5.576702
14,17.607145,5.7067094
15,19.842167,2.6882644
16,19.191181,4.398942
17,27.377321,4.858104
18,28.259005,4.7854605
19,28.36009,5.06616
20,28.642433,5.0007977
21,28.749113,4.751986
22,31.655565,2.5129828
23,29.781384,4.471442
24,28.47611,4.434008
25,24.302322,4.396479
26,18.15221,4.6300516
27,15.746757,5.105923
28,14.119183,3.0652838
29,10.095598,6.7837257
30,7.632875,9.329509
31,11.647202,15.529894
32,21.479122,16.154648
33,24.163507,15.711516
34,27.358093,15.699836
35,28.961962,14.399242
36,29.039642,14.916177
37,26.868795,15.600136
38,25.389688,16.674881
39,33.776794,16.250313
40,23.88797,15.945495
41,18.951866,16.584536
42,18.263103,16.443432
43,6.4050946,15.847874
44,6.6426325,9.130289
45,6.001915,14.555428
46,6.3406677,9.665398
47,3.162476,5.3868074
48,2.635674,5.523333
49,7.3287516,11.680748
50,6.5685406,14.198997
51,5.5918875,15.394355
52,5.4237385,15.785431
53,5.1364512,13.7283535
54,6.369507,9.803072
55,4.97852,4.9461765
56,11.843666,8.70906
57,14.681991,8.442631
58,17.348085,8.601716
59,23.7991,9.349246
60,26.010622,8.065853
61,28.462948,5.3675513
62,31.53719,5.566922
63,28.658012,5.370522
64,27.982712,11.992804
65,24.792547,15.548333
66,17.247368,16.455273
67,34.106815,15.872733
68,18.75599,16.564932
69,18.91242,16.269068
70,18.953693,16.261026
71,18.86891,16.107605
72,10.918636,16.26486
73,6.507812,15.808659
74,5.340137,15.653829
75,4.1708617,14.312896
76,7.797649,12.613312
77,4.262825,9.445769
78,4.572431,4.028344
79,7.9239163,4.89297
80,10.8108635,6.3960886
81,12.67646,6.6977177
82,14.297098,3.3302479
83,13.991835,3.0995722
84,21.459763,4.384897
85,27.710106,4.6388974
86,28.214132,4.5161037
87,28.188177,4.908565
88,31.057915,6.935228
89,33.156136,8.825818
90,30.66009,9.614027
91,27.784998,15.2184515
92,31.946766,16.465631
93,31.678532,16.386456
94,23.60728,15.994971
95,17.211937,16.535942
96,4.8626165,15.747807
97,4.3189683,14.10554
98,6.430647,11.589511
99,8.508622,11.0162325
100,10.863223,9.88989
101,11.681004,9.996618
102,11.718164,10.106587
103,12.026782,10.47366
104,10.978437,7.179863
105,7.5062447,4.9996066
106,6.135067,4.9579787
107,4.297145,4.9329786
108,4.586396,7.2088995
109,5.286883,11.608647
110,5.0397363,12.610839
111,12.335773,12.5981045
112,15.0188875,15.21024
113,34.109924,15.892371
114,27.877846,15.776913
115,30.410643,17.061209
116,27.95895,15.817492
117,28.032862,15.325747
118,29.0466,14.698413
119,22.602957,16.139776
120,13.966334,16.622301
121,10.796151,15.607879
122,8.026557,16.185015
123,7.956596,15.985655
124,4.391793,13.496744
125,3.303778,9.74616
126,4.5224514,10.547872
127,7.5630507,11.503796
128,12.114058,13.500841
129,17.376738,13.153781
130,17.938137,13.172755
131,22.261063,12.315757
132,22.423506,8.751654
133,14.586974,4.615606
134,14.74089,6.398558
135,15.228067,8.946042
136,13.931607,6.791634
137,21.767862,13.412983
138,22.284021,13.537808
139,26.039877,12.080362
140,27.907576,11.535203
141,30.61843,11.682533
142,26.134039,12.391427
143,28.778442,10.185123
144,28.46398,10.913934
145,29.259058,12.847203
146,32.266872,14.797435
147,29.574013,13.749445
148,30.887758,14.808296
149,28.92224,15.594475
150,19.458149,15.930541
151,20.134846,15.28904
152,18.993711,16.692022
153,18.532082,17.600037
154,20.027533,15.261197
155,8.934882,16.192463
156,8.797247,15.664685
157,6.1390204,15.791002
158,5.7912083,15.153049
159,4.3179536,9.730852
160,6.501517,7.922982
161,8.912248,6.1343417
162,9.501295,4.5674086
163,17.836924,4.527872
164,25.45784,5.4015746
165,25.576147,5.3923383
166,25.594385,5.2191525
167,25.776188,5.3345227
168,26.943115,6.540915
169,25.673477,5.4127107
170,28.087898,5.842134
171,28.062513,5.2863407
172,31.256977,6.137848
173,29.558445,11.025101
174,28.720392,14.613392
175,27.051083,15.389771
176,23.141806,13.992763
177,22.463316,13.936338
178,20.324772,10.517658
179,19.74409,8.696243
180,14.632536,13.999165
181,15.299782,14.554861
182,14.881575,17.224405
183,14.094416,14.658632
184,6.27039,15.768078
185,6.2060556,16.022936
186,5.861944,13.287314
187,7.852629,12.3579445
188,8.038409,12.28147
189,11.696892,14.379958
190,15.866494,12.821001
191,21.433565,4.961687
192,34.063797,15.926164
193,24.541689,7.8369637
194,27.053375,6.827132
195,25.922073,6.6076536
196,26.30905,6.94698
197,27.818295,5.9614773
198,27.319918,5.521296
199,27.09273,5.302336
200,25.992575,5.469111
201,25.332802,5.080537
202,21.030392,6.1362805
203,18.80026,5.723786
204,12.06589,3.967717
205,10.744797,4.1014075
206,9.4650345,4.282891
207,6.6292787,4.4449635
208,7.1220293,4.7694135
209,5.612157,4.4917417
210,4.6091843,9.666305
211,2.9962268,9.781136
212,5.591972,12.770615
213,6.4991727,15.163247
214,6.9261665,15.518489
215,10.1398115,16.467987
216,11.885319,16.263128
217,12.247955,16.047323
218,13.918112,15.6638155
219,21.37123,15.477753
220,27.886408,15.302189
221,28.35373,13.347551
222,29.654675,13.159628
223,28.573973,13.497384
224,29.382113,12.811283
225,28.460737,14.503858
226,28.057919,14.655304
227,28.445602,14.9718895
228,28.521624,14.771437
229,28.5639,14.8053
230,32.232773,15.994709
231,29.170696,14.6163025
232,27.012697,16.009771
233,26.95408,15.999581
234,22.966461,16.151976
235,20.83292,16.313921
236,8.640143,16.365751
237,6.969924,15.69717
238,5.604224,15.800909
239,5.243488,15.227613
240,4.7544727,16.112888
241,5.02443,11.879869
242,5.1651993,9.126648
243,7.4334354,8.227001
244,8.1575775,11.705729
245,8.3384285,12.814599
246,9.184134,14.24634
247,13.609934,15.809558
248,14.164326,14.852666
249,19.103619,11.251829
250,26.872454,8.708637
251,26.66896,8.592611
252,27.660435,8.416087
253,28.33684,6.4695024
254,29.08308,3.337827
255,29.205748,2.8555534
256,29.16516,3.1065323
257,29.294344,2.9037764
258,29.143549,2.744967
259,29.268923,2.7655234
260,27.837685,4.3649645
261,27.54743,4.184153
262,27.633703,4.0708046
263,25.242706,6.5242534
264,24.503012,8.289997
265,25.82616,9.459389
266,26.258884,13.823106
267,14.065875,16.522375
268,13.915084,15.963386
269,12.897046,17.477478
270,6.8508964,16.263498
271,4.022354,11.106496
272,3.7003033,6.5278125
273,4.254885,5.4502645
274,3.6150072,5.761266
275,3.520038,5.9028373
276,3.4780295,5.8106937
277,2.5223954,3.098244
278,4.0196524,4.949367
279,7.9903846,4.5710816
280,8.876169,4.6350117
281,10.947574,4.1941195
282,11.012374,4.243918
283,12.141658,4.396708
284,11.1998205,4.2625585
285,11.548836,4.4179306
286,11.131098,4.410095
287,13.89376,4.783986
288,13.0403185,4.9371524
289,14.445552,3.7768428
290,13.689134,4.975276
291,15.624713,4.9230957
292,17.088108,5.694655
293,17.903551,5.226691
294,18.663616,7.672172
295,21.124058,6.990222
296,22.219347,7.929271
297,23.778711,8.933454
298,27.728403,12.767694
299,26.745935,13.359983
300,28.075802,15.482589
301,30.922995,17.027216
302,26.485834,15.178523
303,22.225756,15.817739
304,13.794006,16.264091
305,6.133364,16.126352
306,5.807903,16.129728
307,6.0249286,16.159395
308,5.144165,16.301146
309,5.3983254,14.899728
310,6.164189,15.211145
311,9.906178,14.026562
312,9.999284,14.086969
313,10.68755,13.893311
314,9.382164,12.316984
315,8.965335,7.7091575
316,8.389225,4.8822536
317,6.3361845,4.32366
318,3.4206285,3.5500836
319,1.6190959,3.1105373
320,1.6961287,3.1830018
321,4.1743245,6.0618887
322,3.7863996,7.9493804
323,3.7980385,12.753781
324,2.6436658,13.233205
325,6.6154656,16.271461
326,7.9343605,16.58079
327,12.183536,16.82236
328,14.106365,14.992878
329,16.104073,13.498772
330,15.955129,14.056686
331,15.74206,12.942956
332,14.772638,12.081892
333,14.481328,11.193478
334,13.457059,10.720932
335,8.878071,9.433187
336,5.715458,9.237722
337,5.41488,9.88893
338,3.8426926,13.368642
339,2.886467,16.362951
340,34.045025,15.931526
341,4.0945826,15.449478
342,4.8811464,16.445545
343,5.2633686,16.457144
344,6.1660357,16.320837
345,6.4820204,14.63334
346,4.6591415,9.230603
347,5.0589724,5.3740926
348,4.853629,5.603716
349,9.615649,4.223913
350,14.870197,3.7560732
351,15.254555,2.6625822
352,15.606633,4.7597165
353,19.03693,4.5113754
354,27.456154,4.5886226
355,27.743996,4.3658133
356,27.923273,4.5177693
357,29.720812,6.02657
358,31.256216,7.5293956
359,31.502693,8.139477
360,29.992706,6.5014505
361,29.947039,6.9546003
362,28.95093,6.5000625
363,27.615662,7.738066
364,21.878515,7.084884
365,20.949738,5.7940755
366,19.855997,5.3066807
367,19.117897,3.7119036
368,18.060102,3.3796043
369,18.138083,2.7945554
370,19.524626,2.3394783
371,18.045809,4.8753705
372,16.417068,9.830202
373,11.72576,15.143312
374,6.7710776,16.139969
375,5.7291646,16.346727
376,3.7241077,15.758497
377,5.0826154,15.952818
378,5.971667,16.025822
379,5.875846,16.020117
380,3.6040437,14.537703
381,6.9475317,14.384562
382,7.685964,14.220842
383,8.911761,15.263821
384,6.296008,16.493488
385,5.984862,16.341549
386,4.8550525,15.331
387,4.380763,14.615989
388,3.7245445,12.082142
389,4.1817408,12.089607
390,3.020395,11.440965
391,4.3487525,14.602585
392,5.7726703,16.060863
393,7.570539,15.09357
394,10.456739,14.501287
395,14.24095,12.495767
396,18.004265,10.045775
397,17.795322,9.550605
398,18.32291,8.802408
399,20.17594,8.565173
400,25.318607,8.820057
401,27.28545,9.192743
402,27.74871,8.561737
403,29.57658,9.487512
404,31.10014,9.242594
405,26.994724,8.691416
406,28.616087,8.523353
407,31.450613,14.564861
408,29.294727,15.045174
409,28.935848,15.29231
410,29.179668,14.837561
411,28.173529,13.902783
412,26.36308,15.456601
413,14.202397,16.378706
414,6.5248313,15.903412
415,5.5115104,15.417156
416,5.4387527,15.404473
417,5.4524994,15.476224
418,4.925441,15.582816
419,34.074436,15.908296
420,2.4644752,17.126635
421,4.120064,15.625927
422,5.5526776,16.384672
423,8.411726,15.176519
424,9.622704,15.318547
425,10.706745,15.46926
426,10.454527,14.95389
427,10.073851,15.131317
428,9.979604,15.147
429,9.818703,15.325302
430,9.592632,15.251251
431,9.690566,15.307073
432,9.801238,15.3174305
433,9.874943,15.335788
434,9.788589,15.316713
435,9.658452,15.172635
436,10.505256,15.362978
437,10.480404,15.089967
438,10.481723,15.178852
439,10.394359,14.913961
440,10.628658,14.900216
441,10.879624,14.812526
442,11.029031,15.051468
443,10.962275,15.203259
444,10.898627,15.066303
445,10.735543,15.2672
446,10.50483,15.230461
447,9.215861,15.494267
448,9.245003,16.630548
449,8.687448,17.378468
450,9.556313,14.709581
451,8.923865,14.964927
452,9.14143,15.100552
453,9.68955,15.912405
454,10.113101,16.341091
455,9.58393,16.435488
456,9.606439,16.440582
457,9.655066,16.446598
458,9.649012,16.432407
459,11.29281,16.437963
460,11.553424,16.318367
461,11.332956,15.112659
462,12.447918,15.659719
463,13.479277,15.867314
464,12.554322,15.504589
465,12.561967,15.533442
466,12.445049,15.572375
467,12.364714,15.487817
468,12.3202095,15.4588
469,12.291076,15.483845
470,12.404741,15.563569
471,12.352504,15.574746
472,12.45762,15.674516
473,12.491095,15.764174
474,12.466989,15.81504
475,12.547243,15.798355
476,12.604633,15.947323
477,12.777274,15.9975
478,12.68283,15.675456
479,12.811378,15.855117
480,12.900831,15.130935
481,12.722441,14.863286
482,12.404696,14.674773
483,12.017071,14.546451
484,11.361744,14.705448
485,11.850849,14.986664
486,12.870196,15.097578
487,12.445858,15.559704
488,11.193643,14.88019
489,9.029441,15.492368
490,7.6861324,15.943342
491,5.7757435,16.006752
492,5.816563,15.888937
493,5.4969974,15.456495
494,5.7088585,14.978071
495,7.097044,13.520899
496,6.953505,13.38687
497,7.9843893,11.196313
498,7.9001384,10.596103
499,11.538645,8.1132965
500,8.783607,9.9263525
501,8.362915,10.478543
502,17.449444,9.590162
503,16.760452,9.264104
504,18.292671,9.728027
505,17.94103,9.549322
506,22.719847,6.6432796
507,33.98522,15.991936
508,23.61471,4.4789777
509,22.92611,3.4113822
510,23.146282,4.652033
511,16.57673,3.905521
512,7.5738077,3.8227782
513,6.618878,4.261199
514,6.3896995,4.170394
515,4.715919,5.2374773
516,5.0202413,9.153909
517,5.974487,9.615932
518,9.361203,12.957717
519,9.923433,17.556633
520,9.988078,17.26233
521,10.835125,15.353544
522,11.33992,14.140833
523,11.990551,8.677135
524,14.655336,6.310107
525,11.343267,7.4981136
526,11.30231,6.4181867
527,11.418673,6.973919
528,6.4202785,4.343485
529,5.7462263,4.2651377
530,5.998474,4.224541
531,5.8432803,4.1577373
532,4.4698753,7.0968037
533,4.3758526,7.26891
534,5.687569,9.675642
535,4.963982,9.319437
536,5.6939573,8.938581
537,5.4394846,9.085437
538,5.465556,9.019267
539,5.4349046,9.71387
540,5.843676,9.614695
541,5.7046795,9.566774
542,5.80874,9.505421
543,5.920753,9.592809
544,3.4880912,8.235669
545,3.2772224,8.056063
546,3.25964,8.031995
547,4.908244,8.646878
548,6.61281,8.946584
549,8.414433,9.550646
550,8.333402,9.627372
551,9.352356,10.390667
552,11.277773,12.322788
553,12.563569,14.52858
554,12.102622,14.355058
555,15.459849,15.940516
556,20.195604,16.382603
557,20.769354,16.06617
558,20.829157,16.118032
559,21.448925,16.11691
560,21.248709,16.722687
561,20.78236,16.230137
562,21.185316,16.00225
563,33.786358,16.21384
564,22.824663,16.066753
565,23.34295,16.231014
566,21.798971,15.982176
567,22.613064,16.12145
568,21.861341,15.718896
569,20.915174,14.298935
570,13.776999,10.688703
571,9.757929,15.305302
572,6.4023633,16.11486
573,4.379798,15.674444
574,4.1405764,14.279579
575,5.3319125,12.6358
576,5.3829193,12.836924
577,5.3293524,9.824341
578,5.0321016,9.517023
579,4.7763596,9.057598
580,4.9090285,9.105568
581,4.859444,9.123126
582,4.229468,8.069968
583,4.6751895,8.289906
584,4.796698,8.708885
585,4.6624413,8.627266
586,3.7107735,7.2867374
587,3.863829,7.822264
588,6.412729,9.361594
589,7.578116,10.443159
590,8.166727,10.2494955
591,11.553046,10.625607
592,11.8305235,11.648497
593,11.795574,13.84762
594,11.500833,13.722018
595,12.669809,14.784606
596,12.282401,14.83047
597,13.670111,14.906119
598,17.080105,16.461237
599,19.105959,16.288322
600,18.995794,16.3416
601,19.114908,16.22652
602,19.306831,16.192461
603,20.253984,15.36562
604,22.7639,14.819843
605,22.46024,14.89636
606,22.580713,15.064071
607,22.624472,15.104899
608,22.62638,15.103049
609,22.618124,15.107009
610,22.602737,15.128976
611,22.738789,15.089737
612,22.680557,15.098225
613,22.753298,15.113693
614,22.78057,15.090269
615,22.730383,15.100745
616,22.711409,15.093672
617,22.785938,15.080065
618,22.737522,15.080289
619,22.569508,15.139967
620,22.653917,15.120069
621,22.734964,15.092385
622,22.840044,15.099872
623,22.9729,15.126676
624,22.954378,15.15516
625,22.982332,15.164264
626,22.939413,15.141043
627,23.261423,15.517939
628,23.429825,15.914825
629,23.110332,15.820751
630,23.03508,15.769654
631,23.320635,16.020823
632,23.015284,16.032085
633,23.332352,15.724664
634,23.34554,15.368336
635,23.685637,14.967801
636,24.048412,14.846311
637,24.092852,14.891316
638,24.163244,15.086326
639,24.273285,14.80347
640,24.321547,14.703211
641,24.237967,14.801355
642,24.183899,14.848953
643,24.342142,14.623359
644,24.283617,14.64746
645,24.484346,14.603415
646,24.587381,14.478979
647,24.707615,14.403074
648,24.868958,14.325043
649,24.837511,14.374395
650,25.13803,14.133082
651,25.043886,14.0473585
652,25.03147,14.099048
653,25.11227,14.0685
654,25.098566,14.128541
655,25.05267,14.5859785
656,24.79366,14.448521
657,24.777205,14.475001
658,24.873245,14.311426
659,24.854439,14.36623
660,25.27979,14.158361
661,25.347992,13.9829035
662,25.344,14.110153
663,25.323847,13.904253
664,25.366968,13.699835
665,25.646738,13.7246475
666,25.621931,13.607267
667,25.679724,13.680959
668,25.512291,13.659671
669,25.617935,13.658361
670,25.567114,13.645037
671,25.59238,13.614541
672,25.602795,13.678771
673,25.627079,13.696087
674,25.625248,13.684785
675,25.587767,13.648568
676,25.631945,13.712798
677,25.58061,13.66608
678,25.526014,13.751331
679,25.48007,13.735428
680,25.522163,13.788949
681,25.527996,13.766493
682,25.482592,13.756924
683,25.65134,13.693992
684,25.71827,13.621806
685,25.63127,13.692816
686,25.748434,13.585288
687,26.064575,13.712658
688,26.009388,13.565166
689,25.922686,13.523029
690,25.950626,13.535194
691,26.060713,13.526382
692,25.936619,13.539095
