tick,x,y
1,25.372015,14.324856
2,18.413279,14.764019
3,3.4789114,14.529693
4,2.6176682,14.69156
5,1.7106274,13.537074
6,2.191479,12.374825
7,1.4683623,4.4975038
8,1.4632852,4.1100993
9,1.530015,3.9326
10,2.6411777,2.34582
11,2.5574362,2.3170483
12,2.1019473,2.1637661
13,2.1853294,2.9939537
14,2.224723,3.078796
15,2.028864,3.6878617
16,1.6856792,3.204561
17,1.7408901,3.1053205
18,1.6831374,3.2170167
19,1.6997774,3.2912803
20,1.6731471,3.3180542
21,1.6802098,3.267576
22,1.6680365,3.2405007
23,1.8222194,2.5843115
24,1.9381858,2.539995
25,2.3632567,2.549157
26,1.386626,3.236624
27,1.3958185,3.4163487
28,1.3930923,3.427145
29,1.9369912,2.5894027
30,2.0992167,2.594313
31,1.9824858,2.5524404
32,2.2716808,2.702872
33,2.2841425,2.4271102
34,2.0122812,2.4657073
35,2.0064638,2.4909804
36,2.00363,2.5039642
37,1.984879,2.4970934
38,2.0037718,2.4979663
39,2.0558438,2.5032246
40,2.2175672,2.4180462
41,2.078961,2.4881256
42,2.0276983,2.49359
43,2.2515552,2.5368292
44,1.283883,3.8400385
45,1.2562816,5.063659
46,1.2329679,12.912454
47,1.2095107,13.326383
48,1.3596187,13.241172
49,1.3810425,13.232455
50,2.377555,14.603058
51,2.6653361,14.893219
52,2.3688924,14.674453
53,2.2735639,14.932047
54,2.4779775,13.685744
55,1.7949431,13.440074
56,1.4556828,12.528782
57,1.3027109,3.999518
58,1.2643416,4.1618195
59,2.5990353,1.8998029
60,2.426956,1.9145145
61,1.4453487,2.1962209
62,1.1067997,2.1841826
63,2.3788514,2.5442965
64,2.5219362,2.7022908
65,1.622419,4.022518
66,1.5366328,5.1716175
67,2.024545,13.276931
68,2.7752144,14.636458
69,2.820537,14.830565
70,3.046539,15.002403
71,2.5765843,14.956726
72,2.5795681,14.986264
73,2.6322696,14.998306
74,2.598619,14.998993
75,2.6016765,14.986732
76,2.6223376,14.981649
77,2.6409082,15.013925
78,2.6327195,15.00663
79,2.6425688,15.004215
80,2.644982,15.024209
81,2.5783284,15.0265
82,2.6143339,15.00529
83,2.6048841,15.027521
84,2.6062255,15.033331
85,2.6114352,15.035973
86,2.5916102,15.054771
87,2.6523592,15.007835
88,2.6199982,15.034052
89,2.6849074,15.040202
90,2.5951898,15.032602
91,2.6108081,15.032361
92,2.5567575,15.067984
93,2.588389,15.042395
94,2.5985107,15.039663
95,2.5823998,15.063975
96,2.5762427,15.023612
